Title,Description,URL
Supply chain management vendor Blue Yonder succumbs to ransomware,"And it looks like major UK retailers that rely on it are feeling the pinch US-based supply chain SaaS vendor Blue Yonder has revealed a service disruption caused by ransomware, and its customers are reportedly struggling to get goods onto shelves as a result.…",https://www.theregister.com/2024/11/26/blue_yonder_ransomware/
Chinese chip firms say they can withstand new US export curbs,Chinese chip companies targeted by Washington with fresh export controls have vowed to speed up supply chain localisation and said they would be able to...,https://ca.finance.yahoo.com/news/chinese-chip-firms-withstand-us-073606233.html
Tim Cook and 20 other CEOs met China’s premier to discuss potential issues with Trump plans,"Apple CEO Tim Cook and more than 20 other chief execs met China’s premier today to discuss potential trade disruption once Trump takes office in January.    However, the report makes it sound like the meeting didn’t achieve much, with some saying it felt scri…",https://9to5mac.com/2024/11/25/tim-cook-and-20-other-ceos-met-chinas-premier-to-discuss-potential-issues-with-trump-plans/
Starbucks faces disruptions following ransomware attack on software supplier,The coffee giant said that an outage at a third-party vendor has disrupted a back-end Starbucks process that enables employee scheduling and time tracking.  ...,https://finance.yahoo.com/news/starbucks-faces-disruptions-following-ransomware-201734823.html
25% tariff on imports? Consumers doomed?,"A 25% tariff on Canadian and Mexican imports could drive up car prices, disrupt supply chains, and strain automakers already grappling with industry-wide challenges.",https://www.autoblog.com/news/25-percent-tariff-on-imports-consumers-doomed
Trump’s proposed tariffs could reshape the auto industry,"A 25% tariff on Canadian and Mexican imports could drive up car prices, disrupt supply chains, and strain automakers already grappling with industry-wide challenges.",https://www.autoblog.com/news/trumps-proposed-tariffs-could-reshape-the-auto-industry
Starbucks has gone back to pen and paper after vendor ransomware attack,Employee pay and schedules are being tracked on paper at Starbucks following supply chain attack.,https://www.techradar.com/pro/security/starbucks-has-gone-back-to-pen-and-paper-after-vendor-ransomware-attack
Starbucks and Grocery Stores Face Disruption after Ransomware Attack on Blue Yonder,Supply chain management provider Blue Yonder confirmed it was hit by ransomware attack,https://www.infosecurity-magazine.com/news/starbucks-sainsburys-ransomware/
Wake Up And Smell The Ransomware—Starbucks Impacted By Cyber Attack,A ransomware attack on supply chain vendor Blue Yonder has impacted Starbucks in the U.S. and supermarkets in the U.K. — Here’s what we know so far.,https://www.forbes.com/sites/daveywinder/2024/11/27/wake-up-and-smell-the-ransomware-starbucks-impacted-by-ai-cyber-attack/
Wake Up And Smell The Ransomware—Starbucks Impacted By AI Cyber Attack,A ransomware attack on supply chain vendor Blue Yonder has impacted Starbucks in the U.S. and supermarkets in the U.K. — Here’s what we know so far.,https://www.forbes.com/sites/daveywinder/2024/11/26/wake-up-and-smell-the-ransomware-starbucks-impacted-by-ai-cyber-attack/
Blue Yonder ransomware termites claim credit,"Also: Mystery US firm compromised by Chinese hackers for months; Safe links that aren't; Polish spy boss arrested, and more Infosec in brief  Still smarting over that grocery disruption caused by a ransomware attack on supply chain SaaS vendor Blue Yonder? We…",https://www.theregister.com/2024/12/09/security_in_brief/
Queries mount as The Trade Desk takes an unprecedented step into TV’s adland,Industry peers want to now more about the DSP’s trading deals and broader GTM strategy as it heralds greater CTV efficiencies.,http://digiday.com/future-of-tv/queries-mount-as-the-trade-desk-takes-an-unprecedented-step-into-tvs-adland/
DHS lays out its ground rules for businesses using AI,US Department of Homeland Security issues guidance on the safe and responsible use of AI for critical infrastructure.,https://www.techradar.com/pro/dhs-lays-out-its-ground-rules-for-businesses-using-ai
Five Ways Financial Services Organizations Can Stop Infiltration,Leveraging these five best practices for financial services businesses will help prevent or mitigate infiltration by bad actors:,https://www.forbes.com/councils/forbestechcouncil/2024/11/21/five-ways-financial-services-organizations-can-stop-infiltration/
US drone maker Skydio faces battery crisis amid China sanctions,"The largest US drone maker struggles with supply chain disruption after selling drones to Taiwan's fire departments, with current inventory projected to last until spring 2025.",https://www.digitimes.com/news/a20241128PD213/taiwan-fire-sales-dji-government.html
"South Korea shocker: US treasuries, US$, Yen, gold and crypto will be rallying today: Ajay Bagga","AJaj Bagga predicts an increase in crypto and gold prices due to political instability in South Korea. There will be a flight to safety, boosting investments in the yen, dollar, and US treasuries. South Korea's status as a key hub in global tech supply chains…",https://economictimes.indiatimes.com/markets/expert-view/south-korea-shocker-us-treasuries-us-yen-gold-and-crypto-will-be-rallying-today-ajay-bagga/articleshow/115958331.cms
Woolies customers abusing staff as warehouse workers' strike disrupts supply chain,"Unions say the supermarket giant was warned of the consequences of a battle with its warehouse workers and that ""now is the time"" to improve their conditions.",https://www.abc.net.au/news/2024-11-28/woolworths-staff-abused-as-strike-causes-stock-shortage/104657606
Protecting Tomorrow's World: Shaping the Cyber-Physical Future,"The lines between digital and physical realms increasingly blur. While this opens countless opportunities for businesses, it also brings numerous challenges. In our recent webinar, Shaping the Cyber-Physical Future: Trends, Challenges, and Opportunities for 2…",https://thehackernews.com/2024/11/protecting-tomorrows-world-shaping.html
"Which Came First, the Bird Flu or the Egg?",Eggs are expensive again—it’s not inflation this time.,https://slate.com/podcasts/what-next/2024/11/how-the-avian-flu-outbreak-could-become-a-pandemic
Rare Earth Ban Fuels Doubt About The Viability Of The US Auto Industry,The transition to electric vehicles will happen far faster than is commonly understood. The Chinese bans on rare earth adds headwinds for US EV manufacturers.,https://www.forbes.com/sites/stevebanker/2024/12/10/rare-earth-ban-fuels-doubt-about-the-viability-of-the-us-auto-industry/
MOD stress-testing how UK would cope in war,The war games come amid fears the Russian invasion of Ukraine exposed gaps in Europe's war capabilities.,https://www.bbc.com/news/articles/cjwl3zlqv77o
Post-Globalization: 5 Steps For Business Leaders Outside The US,"How global executives are assessing the US presidential election, taking quick tactical action, and making strategic plans.",https://www.forbes.com/sites/davidmichels/2024/12/11/post-globalization-5-steps-for-business-leaders-outside-the-us/
'War game' to test weapons supply chain to frontline British troops,"The UK will ""war-game"" how British troops could be sustained on the frontline in the event of intense fighting and supply chain disruption.",https://news.sky.com/story/uk-to-war-game-how-frontline-british-troops-could-be-equipped-with-weapons-amid-supply-chain-disruption-13265066
"Rattled by China, West scrambles to rejig critical minerals supply chains",China's trade restrictions on strategic minerals are starting to hit Western companies where it hurts.  Blaming Beijing's curbs on antimony exports announced...,https://finance.yahoo.com/news/rattled-china-west-scrambles-rejig-103753257.html
"Fact-check: Donald Trump’s latest claims on tariffs, murders and more","Trump discussed deportation, birthright citizenship, tariffs, false claims, and pardons for January 6 convicts.",https://www.aljazeera.com/news/2024/12/9/fact-check-donald-trumps-latest-claims-on-tariffs-murders-and-more
"Software firm Blue Yonder providing services to US and UK stores, including Starbucks, hit by ransomware attack","Blue Yonder, a supply chain software provider, suffered a ransomware attack, impacting operations for clients like Starbucks and grocery stores. A ransomware attack on Blue Yonder disrupted operations for several customers, including Starbucks and U.K. grocer…",https://securityaffairs.com/171434/uncategorized/blue-yonder-ransomware-attack.html
"Markets/Coverages: McGill, TMK and Convex Launch Trade Disruption Facility","McGill and Partners, the London-based global specialty insurance and reinsurance broker, has launched a new trade disruption insurance facility in collaboration with Tokio Marine Kiln (TMK) and Convex, offering limits of $95 million, led by TMK. This offering…",https://www.insurancejournal.com/news/international/2024/11/26/802623.htm
What Will Trump Do About China?,"US President-elect Donald Trump campaigned on a promise to take a confrontational approach to China, with tariffs as his weapon of choice. But unless his administration adopts a measured approach, his plans may end up harming American businesses and consumers…",https://www.project-syndicate.org/onpoint/what-will-trump-do-about-china
Taiwan supply chains brace for Trump's upcoming wave of global tariff,"With Trump's imminent return to the White House threatening a new wave of global tariffs, Taiwan's tech industry is moving swiftly to fortify its supply chain strategy. At a November 12 industry forum, experts outlined a new ""two enhancements, two reductions""…",https://www.digitimes.com/news/a20241113PD203/taiwan-supply-chain-taiwan-production-mexico-manufacturing.html
The 10 Most Important Banking And Financial Technology Trends That Will Shape 2025,These ten key trends highlight how traditional institutions and fintech companies are adapting to changing consumer demands.,https://www.forbes.com/sites/bernardmarr/2024/11/13/the-10-most-important-banking-and-financial-technology-trends-that-will-shape-2025/
"Trump tech tariffs could slam your wallet, bigly","The Trump administration will arrive in Washington this coming January with an enormous question mark over its head: Will Trump deliver on his promise to impose tariffs of up to 60 percent, and how will that affect the technology products that Americans buy?…",https://www.pcworld.com/article/2521477/trump-tariffs-could-cost-tech-consumers-bigly.html
The Trump tariffs are coming for wine. American restaurants could die,"Is Donald Trump about to pull the plug on the U.S. food and wine industry? If his plan for 10% to 20% tariffs on all imported goods goes into effect, wine tariffs are likely to devastate the middle- and upper-ends of the restaurant business, while doing nothi…",https://qz.com/donald-trump-tariffs-wine-restaurants-business-imports-1851700730
How To Prep Cryptographic Assets For The Emerging Quantum Era,"Quantum computing can render traditional encryption methods obsolete; it’s vital for companies to act now to protect themselves, their digital assets and their customers.",https://www.forbes.com/councils/forbestechcouncil/2024/12/10/how-to-prep-cryptographic-assets-for-the-emerging-quantum-era/
Could Chinese Control Over Strategic Minerals Coupled with US Corruption Cripple the Sputtering US War Machine?,China tightens its grip on materials necessary for US military and its proxies as Washington turns to those who squandered American advantages to fix the problem — or profit from it.,https://www.nakedcapitalism.com/2024/12/could-chinese-control-over-strategic-minerals-coupled-with-us-corruption-cripple-the-sputtering-us-war-machine.html
Reactor installed at UK's newest nuclear power station,The nuclear power plant is the first to be built in the UK for 30 years.,https://www.bbc.com/news/articles/cvg725xpxleo
[Removed],[Removed],https://removed.com
Unit 42 Predicts the Year of Disruption and Other Top Threats in 2025,"As part of Palo Alto Networks 2025 predictions, read on to uncover Unit 42’s insights on what to expect in the coming year. The post Unit 42 Predicts the Year of Disruption and Other Top Threats in 2025 appeared first on Palo Alto Networks Blog.",https://www.paloaltonetworks.com/blog/2024/11/unit-42-predicts-top-threats-in-2025/
How AI Is Reshaping The Future Of Work Across Industries,"Artificial intelligence (AI) is no longer a vision of the future; it is the driving force of the present, fundamentally transforming how we work, live, and innovate.",https://www.forbes.com/sites/brentgleeson/2024/12/03/how-ai-is-reshaping-the-future-of-work-across-industries/
"Trump proposes 25% tariff on Canadian and Mexican imports, 10% on Chinese goods","President-elect Donald Trump has announced plans to impose sweeping tariffs on imports from Canada, Mexico, and China once he returns to the White House. The controversial declaration has already triggered significant currency fluctuations and raised alarm be…",https://www.techspot.com/news/105730-trump-proposes-25-tariff-canadian-mexican-imports-10.html
Supply chain constraints could hit Audi India’s growth,"With the increase in the cost of shipment, Audi is evaluating increasing the prices of its vehicles in the country",https://www.thehindubusinessline.com/companies/supply-chain-constraints-could-hit-audi-indias-growth/article68922742.ece
Proven ways to boost hotel food and drink profits,"By focusing on cost optimisation, reducing waste, and leveraging technology, hotels can enhance profitability while maintaining high-quality service.",https://www.hotelmanagement-network.com/news/proven-ways-to-boost-hotel-food-and-drink-profits/
"⚡ THN Recap: Top Cybersecurity Threats, Tools and Tips (Dec 2 - 8)","This week’s cyber world is like a big spy movie. Hackers are breaking into other hackers’ setups, sneaky malware is hiding in popular software, and AI-powered scams are tricking even the smartest of us. On the other side, the good guys are busting secret onli…",https://thehackernews.com/2024/12/thn-recap-top-cybersecurity-threats_9.html
Sustainability To Resilience: Adapt ESG Strategies In A Changing World,Is ESG officially dead or merely in transition? Is it possible to balance innovation and the pursuit of economic growth with protecting the planet? Some takeaways.,https://www.forbes.com/sites/chloedemrovsky/2024/12/09/sustainability-to-resilience-adapt-esg-strategies-in-a-changing-world/
Microsoft shares latest intelligence on North Korean and Chinese threat actors at CYBERWARCON,"At CYBERWARCON 2024, Microsoft Threat Intelligence analysts will share research and insights on North Korean and Chinese threat actors representing years of threat actor tracking, infrastructure monitoring and disruption, and their attack tooling.  The post M…",https://www.microsoft.com/en-us/security/blog/2024/11/22/microsoft-shares-latest-intelligence-on-north-korean-and-chinese-threat-actors-at-cyberwarcon/
"Donald Trump’s interview with ‘Meet the Press,’ fact-checked","In a Dec. 8 interview on NBC’s “Meet the Press,” President-elect Donald Trump elaborated on plans for removing people in the country illegally and imposing tariffs on trade partners — […] The post Donald Trump’s interview with ‘Meet the Press,’ fact-checked a…",https://www.poynter.org/fact-checking/2024/meet-the-press-fact-check-donald-trump-interview/
"No disruption to Irish Guinness supplies for Christmas, Diageo says","‘Exceptional consumer demand’ for the stout in recent months has led to distribution issues in England, Wales and Scotland",https://www.irishtimes.com/ireland/2024/12/05/no-disruption-to-irish-guinness-supplies-for-christmas-diageo-says/
Microsoft seized 240 sites used by the ONNX phishing service,"Microsoft disrupted the ONNX phishing service, seizing 240 sites and naming an Egyptian man as the operator behind the operation. Microsoft announced the disruption of the ONNX phishing service, another success against cybercrime which led to the seizure of 2…",https://securityaffairs.com/171287/cyber-crime/microsoft-disrupted-the-onnx-phishing-service.html
Key Trends Shaping The Future Of AI In 2025,"What do you think artificial intelligence (AI) will be like in 2025? Will there be revolutionary development, or do the challenges take a toll on this rapid development? The continuous strides and steps forward are surely going to change almost every industry…",https://www.redmondpie.com/key-trends-shaping-the-future-of-ai-in-2025/
Nvidia Stock Earnings Preview: What To Know Before The Report,"Nvidia stock earnings preview: Discover key insights, expectations and market trends to watch ahead of Nvidia’s earnings report. Here’s what investors should know.",https://www.forbes.com/sites/investor-hub/article/nvidia-nvda-stock-earnings-preview-what-to-know-before-report/
UK manufacturing PMI sinks to 9-month low as orders dry up,"A gauge of British manufacturing activity released on Monday pointed to the sharpest contraction in nine months, as orders from domestic and foreign customers fell and ongoing supply chain disruption pushed up costs. The S&P Global manufacturing Purchasing Ma…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_4d42f805-aca3-4416-b0ea-680fabf2b97e
Editorial. October retail inflation print raises concerns,Supply chain efficiencies are a must to offset price increase due to rising input costs and the inevitable increases in support prices,https://www.thehindubusinessline.com/opinion/editorial/october-retail-inflation-print-raises-concerns/article68864002.ece
PenCott-GreenZone Camouflage Fabric Available Once Again!,"50/50 poly-cotton ripstop stretch tactical fabric produced in partnership with 707 Tactical Gear. Hyde Definition Ltd., the parent company of the PenCott® camouflage brand, today announces the long-awaited return of GreenZone™ camouflage garment fabric for wh…",https://soldiersystems.net/2024/12/06/pencott-greenzone-camouflage-fabric-available-once-again/
